id_kasus,kanal,kategori,nama_kategori,teks_skenario,label_risiko,level_kesulitan,has_link,has_short_url,has_suspicious_domain,asks_otp_pin_cvv,asks_password,asks_personal_data,has_reward_claim,has_loan_offer,has_urgency,asks_transfer_fee,uses_apk_attachment,outside_official_app,risk_score_rule,indikator_ideal,tindakan_benar,feedback_tutor,basis_sumber
CYB001,SMS,phishing_link,Link Phishing,Terdeteksi aktivitas tidak biasa pada akun JNE. Login ulang melalui tautan berikut: https://linktr.ee/ji0y6d,mencurigakan,sedang,1,1,0,0,1,0,0,0,0,0,0,0,33,link tidak resmi|domain mencurigakan|tekanan waktu|meminta login/data,Jangan klik link; buka aplikasi/situs resmi secara manual dan laporkan pesan.,"Kasus ini termasuk Link Phishing. Perhatikan indikator: link tidak resmi, domain mencurigakan, tekanan waktu. Jangan klik link; buka aplikasi/situs resmi secara manual dan laporkan pesan.","Kominfo/BSSN - kewaspadaan phishing, link tidak resmi, permintaan login/data"
CYB002,Email,phishing_link,Link Phishing,Update data nasabah BCA untuk menghindari pembatasan akun: https://s.id/sahxth,mencurigakan,sedang,1,1,0,0,0,1,0,0,0,0,0,0,30,link tidak resmi|domain mencurigakan|tekanan waktu|meminta login/data,Jangan klik link; buka aplikasi/situs resmi secara manual dan laporkan pesan.,"Kasus ini termasuk Link Phishing. Perhatikan indikator: link tidak resmi, domain mencurigakan, tekanan waktu. Jangan klik link; buka aplikasi/situs resmi secara manual dan laporkan pesan.","Kominfo/BSSN - kewaspadaan phishing, link tidak resmi, permintaan login/data"
CYB003,Marketplace Chat,phishing_link,Link Phishing,Update data nasabah BPJS untuk menghindari pembatasan akun: https://tokopedia-voucher.net/verifikasi,mencurigakan,sedang,1,0,1,0,0,1,1,0,0,0,0,0,48,link tidak resmi|domain mencurigakan|tekanan waktu|meminta login/data,Jangan klik link; buka aplikasi/situs resmi secara manual dan laporkan pesan.,"Kasus ini termasuk Link Phishing. Perhatikan indikator: link tidak resmi, domain mencurigakan, tekanan waktu. Jangan klik link; buka aplikasi/situs resmi secara manual dan laporkan pesan.","Kominfo/BSSN - kewaspadaan phishing, link tidak resmi, permintaan login/data"
CYB004,Browser/Website,phishing_link,Link Phishing,Akun OVO Anda terblokir sementara. Segera verifikasi data melalui https://s.id/8mdd4v sebelum 1x24 jam.,mencurigakan,sedang,1,1,0,0,0,1,0,0,1,0,0,0,38,link tidak resmi|domain mencurigakan|tekanan waktu|meminta login/data,Jangan klik link; buka aplikasi/situs resmi secara manual dan laporkan pesan.,"Kasus ini termasuk Link Phishing. Perhatikan indikator: link tidak resmi, domain mencurigakan, tekanan waktu. Jangan klik link; buka aplikasi/situs resmi secara manual dan laporkan pesan.","Kominfo/BSSN - kewaspadaan phishing, link tidak resmi, permintaan login/data"
CYB005,SMS,phishing_link,Link Phishing,Akun Shopee Anda terblokir sementara. Segera verifikasi data melalui https://cutt.ly/ckw5ng sebelum 1x24 jam.,mencurigakan,sedang,1,1,0,0,0,1,0,0,1,0,0,0,38,link tidak resmi|domain mencurigakan|tekanan waktu|meminta login/data,Jangan klik link; buka aplikasi/situs resmi secara manual dan laporkan pesan.,"Kasus ini termasuk Link Phishing. Perhatikan indikator: link tidak resmi, domain mencurigakan, tekanan waktu. Jangan klik link; buka aplikasi/situs resmi secara manual dan laporkan pesan.","Kominfo/BSSN - kewaspadaan phishing, link tidak resmi, permintaan login/data"
CYB006,Email,phishing_link,Link Phishing,Akun JNE Anda terblokir sementara. Segera verifikasi data melalui https://tinyurl.com/945nq4 sebelum 1x24 jam.,mencurigakan,sedang,1,1,0,0,0,1,0,0,1,0,0,0,38,link tidak resmi|domain mencurigakan|tekanan waktu|meminta login/data,Jangan klik link; buka aplikasi/situs resmi secara manual dan laporkan pesan.,"Kasus ini termasuk Link Phishing. Perhatikan indikator: link tidak resmi, domain mencurigakan, tekanan waktu. Jangan klik link; buka aplikasi/situs resmi secara manual dan laporkan pesan.","Kominfo/BSSN - kewaspadaan phishing, link tidak resmi, permintaan login/data"
CYB007,Marketplace Chat,phishing_link,Link Phishing,Terdeteksi aktivitas tidak biasa pada akun OVO. Login ulang melalui tautan berikut: https://tinyurl.com/zycwti,mencurigakan,sedang,1,1,0,0,1,0,0,0,0,0,0,0,33,link tidak resmi|domain mencurigakan|tekanan waktu|meminta login/data,Jangan klik link; buka aplikasi/situs resmi secara manual dan laporkan pesan.,"Kasus ini termasuk Link Phishing. Perhatikan indikator: link tidak resmi, domain mencurigakan, tekanan waktu. Jangan klik link; buka aplikasi/situs resmi secara manual dan laporkan pesan.","Kominfo/BSSN - kewaspadaan phishing, link tidak resmi, permintaan login/data"
CYB008,Email,phishing_link,Link Phishing,Update data nasabah DANA untuk menghindari pembatasan akun: https://briupdate.info/verifikasi,mencurigakan,sedang,1,0,1,0,0,1,0,0,0,0,0,0,38,link tidak resmi|domain mencurigakan|tekanan waktu|meminta login/data,Jangan klik link; buka aplikasi/situs resmi secara manual dan laporkan pesan.,"Kasus ini termasuk Link Phishing. Perhatikan indikator: link tidak resmi, domain mencurigakan, tekanan waktu. Jangan klik link; buka aplikasi/situs resmi secara manual dan laporkan pesan.","Kominfo/BSSN - kewaspadaan phishing, link tidak resmi, permintaan login/data"
CYB009,Email,phishing_link,Link Phishing,Akun Kominfo Anda terblokir sementara. Segera verifikasi data melalui https://dana-verifikasi-id.com/verifikasi sebelum 1x24 jam.,mencurigakan,sedang,1,0,1,0,0,1,0,0,1,0,0,0,46,link tidak resmi|domain mencurigakan|tekanan waktu|meminta login/data,Jangan klik link; buka aplikasi/situs resmi secara manual dan laporkan pesan.,"Kasus ini termasuk Link Phishing. Perhatikan indikator: link tidak resmi, domain mencurigakan, tekanan waktu. Jangan klik link; buka aplikasi/situs resmi secara manual dan laporkan pesan.","Kominfo/BSSN - kewaspadaan phishing, link tidak resmi, permintaan login/data"
CYB010,Marketplace Chat,phishing_link,Link Phishing,Update data nasabah GoPay untuk menghindari pembatasan akun: https://s.id/6uzhr5,mencurigakan,sedang,1,1,0,0,0,1,0,0,0,0,0,0,30,link tidak resmi|domain mencurigakan|tekanan waktu|meminta login/data,Jangan klik link; buka aplikasi/situs resmi secara manual dan laporkan pesan.,"Kasus ini termasuk Link Phishing. Perhatikan indikator: link tidak resmi, domain mencurigakan, tekanan waktu. Jangan klik link; buka aplikasi/situs resmi secara manual dan laporkan pesan.","Kominfo/BSSN - kewaspadaan phishing, link tidak resmi, permintaan login/data"
