id_profile,skor_phishing,skor_otp,skor_password,skor_marketplace,skor_pinjol,jumlah_salah,rata_waktu_detik,jumlah_bantuan_dibuka,level_awareness
USRTR001,29,60,93,74,93,4,37,3,intermediate
USRTR002,57,34,71,22,61,5,43,4,beginner
USRTR003,66,31,75,33,51,5,39,4,beginner
USRTR004,87,30,70,59,63,3,22,2,intermediate
USRTR005,29,85,34,87,85,3,34,2,intermediate
USRTR006,38,50,33,38,52,5,24,2,beginner
USRTR007,29,42,100,83,79,5,40,3,intermediate
USRTR008,92,99,61,100,60,1,14,1,advanced
USRTR009,80,76,100,58,55,4,33,1,intermediate
USRTR010,84,29,59,79,77,3,35,1,intermediate
USRTR011,56,29,31,98,96,5,41,2,intermediate
USRTR012,94,90,25,77,93,4,31,1,intermediate
USRTR013,97,80,84,39,27,4,33,1,intermediate
USRTR014,30,84,42,25,51,7,42,3,beginner
USRTR015,87,86,98,40,66,3,35,2,intermediate
USRTR016,72,63,96,26,100,4,15,2,intermediate
USRTR017,62,32,91,69,56,4,21,3,intermediate
USRTR018,62,30,94,38,64,5,38,4,intermediate
USRTR019,36,96,30,59,91,4,33,3,intermediate
USRTR020,36,87,31,74,85,4,35,1,intermediate
USRTR021,59,43,47,63,82,4,21,2,intermediate
USRTR022,39,29,57,32,84,7,47,4,beginner
USRTR023,24,63,99,36,96,4,22,1,intermediate
USRTR024,43,99,41,76,25,5,28,3,intermediate
USRTR025,76,98,56,77,49,4,30,1,intermediate
USRTR026,80,44,67,93,76,3,35,2,intermediate
USRTR027,84,87,73,40,45,5,28,1,intermediate
USRTR028,26,81,67,90,33,6,20,4,intermediate
USRTR029,56,30,40,54,77,6,41,2,beginner
USRTR030,31,48,77,64,23,6,39,2,beginner
USRTR031,84,67,50,69,30,5,14,2,intermediate
USRTR032,60,32,62,38,37,5,44,3,beginner
USRTR033,37,80,77,98,20,3,28,1,intermediate
USRTR034,47,39,90,97,87,3,29,1,intermediate
USRTR035,50,58,35,26,50,6,44,4,beginner
USRTR036,28,34,83,96,88,3,44,3,intermediate
USRTR037,93,50,38,57,74,3,34,3,intermediate
USRTR038,50,93,73,43,30,6,17,3,intermediate
USRTR039,87,89,84,84,90,1,39,1,advanced
USRTR040,25,69,67,52,22,6,36,2,beginner
USRTR041,50,100,33,94,62,3,34,1,intermediate
USRTR042,89,63,42,79,81,4,19,1,intermediate
USRTR043,28,78,24,57,45,5,16,2,beginner
